,0
0,50
1,54
2,58
3,66
4,67
5,69
6,77
7,86
8,90
9,134
10,183
11,251
12,259
13,261
14,265
15,269
16,272
17,301
18,307
19,322
20,324
21,333
22,345
23,357
24,384
25,421
26,426
27,427
28,464
29,488
30,510
31,512
32,542
33,556
34,610
35,623
36,624
37,657
38,667
39,696
40,704
41,706
42,755
43,756
44,759
45,765
46,73
47,101
48,103
49,111
50,119
51,132
52,133
53,147
54,191
55,205
56,223
57,273
58,284
59,305
60,316
61,339
62,346
63,365
64,368
65,373
66,390
67,391
68,393
69,434
70,438
71,452
72,461
73,471
74,490
75,496
76,513
77,539
78,544
79,546
80,576
81,594
82,598
83,600
84,631
85,660
86,662
87,671
88,682
89,683
90,697
91,701
92,709
93,738
94,753
95,118
96,694
97,35
98,252
99,699
100,735
101,108
102,59
103,742
104,141
105,402
106,455
107,92
108,289
109,415
110,536
111,577
112,762
113,328
114,620
115,575
116,18
117,51
118,174
119,180
120,201
121,209
122,398
123,482
124,429
125,647
126,175
127,751
128,160
129,72
130,171
131,224
132,239
133,293
134,326
135,347
136,646
137,745
138,55
139,122
140,128
141,151
142,162
143,243
144,349
145,370
146,389
147,485
148,491
149,618
150,703
151,734
